age,approved,decision,age_group
22.08,0,Denied,Under 25
22.67,0,Denied,Under 25
29.58,0,Denied,25–34
21.67,1,Approved,Under 25
20.17,1,Approved,Under 25
15.83,1,Approved,Under 25
17.42,0,Denied,Under 25
58.67,1,Approved,55+
27.83,0,Denied,25–34
55.75,0,Denied,55+
33.5,1,Approved,25–34
41.42,1,Approved,35–44
20.67,0,Denied,Under 25
34.92,1,Approved,25–34
58.58,0,Denied,55+
48.08,1,Approved,45–54
29.58,1,Approved,25–34
18.92,1,Approved,Under 25
20.0,0,Denied,Under 25
22.42,1,Approved,Under 25
28.17,0,Denied,25–34
19.17,0,Denied,Under 25
41.17,0,Denied,35–44
41.58,0,Denied,35–44
19.5,0,Denied,Under 25
32.75,1,Approved,25–34
22.5,0,Denied,Under 25
33.17,1,Approved,25–34
30.67,1,Approved,25–34
23.08,1,Approved,Under 25
27.0,1,Approved,25–34
20.42,0,Denied,Under 25
52.33,0,Denied,45–54
23.08,1,Approved,Under 25
42.83,0,Denied,35–44
74.83,0,Denied,55+
25.0,1,Approved,25–34
39.58,1,Approved,35–44
47.75,1,Approved,45–54
47.42,1,Approved,45–54
23.17,1,Approved,Under 25
22.58,0,Denied,Under 25
26.75,1,Approved,25–34
63.33,0,Denied,55+
23.75,0,Denied,Under 25
20.75,1,Approved,Under 25
24.5,0,Denied,Under 25
16.17,1,Approved,Under 25
29.5,0,Denied,25–34
52.83,1,Approved,45–54
32.33,0,Denied,25–34
21.08,0,Denied,Under 25
28.17,0,Denied,25–34
19.0,0,Denied,Under 25
27.58,0,Denied,25–34
27.83,1,Approved,25–34
40.0,1,Approved,35–44
37.33,0,Denied,35–44
42.5,1,Approved,35–44
56.75,1,Approved,55+
43.17,0,Denied,35–44
23.75,0,Denied,Under 25
18.5,1,Approved,Under 25
40.83,0,Denied,35–44
24.5,1,Approved,Under 25
42.0,1,Approved,35–44
19.5,0,Denied,Under 25
21.5,0,Denied,Under 25
31.25,0,Denied,25–34
27.25,1,Approved,25–34
48.75,0,Denied,45–54
30.42,0,Denied,25–34
29.42,0,Denied,25–34
28.25,1,Approved,25–34
40.25,1,Approved,35–44
36.5,0,Denied,35–44
25.58,0,Denied,25–34
29.83,0,Denied,25–34
23.08,0,Denied,Under 25
32.17,1,Approved,25–34
25.17,1,Approved,25–34
35.17,0,Denied,35–44
18.58,0,Denied,Under 25
39.92,0,Denied,35–44
23.42,0,Denied,Under 25
37.58,1,Approved,35–44
24.75,0,Denied,Under 25
47.0,1,Approved,45–54
34.17,1,Approved,25–34
22.17,0,Denied,Under 25
27.75,0,Denied,25–34
42.75,0,Denied,35–44
28.67,0,Denied,25–34
36.25,1,Approved,35–44
18.17,0,Denied,Under 25
21.25,1,Approved,Under 25
38.92,0,Denied,35–44
31.83,0,Denied,25–34
17.33,0,Denied,Under 25
20.42,1,Approved,Under 25
39.08,0,Denied,35–44
38.67,1,Approved,35–44
27.67,1,Approved,25–34
27.75,1,Approved,25–34
19.0,0,Denied,Under 25
25.0,1,Approved,25–34
27.67,1,Approved,25–34
22.25,0,Denied,Under 25
49.83,1,Approved,45–54
32.33,0,Denied,25–34
38.25,0,Denied,35–44
47.33,0,Denied,45–54
27.83,0,Denied,25–34
35.75,1,Approved,35–44
33.58,0,Denied,25–34
34.08,1,Approved,25–34
20.75,1,Approved,Under 25
33.17,1,Approved,25–34
22.75,1,Approved,Under 25
48.75,1,Approved,45–54
40.58,1,Approved,35–44
20.67,0,Denied,Under 25
38.75,0,Denied,35–44
57.08,1,Approved,55+
31.25,1,Approved,25–34
22.0,0,Denied,Under 25
58.33,1,Approved,55+
28.92,0,Denied,25–34
46.0,1,Approved,45–54
21.0,1,Approved,Under 25
24.75,1,Approved,Under 25
20.83,0,Denied,Under 25
24.58,0,Denied,Under 25
26.5,0,Denied,25–34
40.92,0,Denied,35–44
38.33,0,Denied,35–44
19.58,0,Denied,Under 25
39.25,1,Approved,35–44
25.75,1,Approved,25–34
46.08,1,Approved,45–54
19.67,0,Denied,Under 25
22.25,0,Denied,Under 25
18.83,0,Denied,Under 25
64.08,1,Approved,55+
16.5,0,Denied,Under 25
68.67,1,Approved,55+
76.75,1,Approved,55+
15.92,0,Denied,Under 25
34.83,0,Denied,25–34
47.42,1,Approved,45–54
23.17,1,Approved,Under 25
45.17,0,Denied,45–54
15.17,0,Denied,Under 25
18.83,0,Denied,Under 25
52.5,1,Approved,45–54
19.17,1,Approved,Under 25
18.0,1,Approved,Under 25
37.5,0,Denied,35–44
22.67,1,Approved,Under 25
47.83,0,Denied,45–54
34.08,0,Denied,25–34
33.08,0,Denied,25–34
43.08,1,Approved,35–44
34.5,1,Approved,25–34
42.75,0,Denied,35–44
18.25,0,Denied,Under 25
23.08,0,Denied,Under 25
22.5,1,Approved,Under 25
17.92,0,Denied,Under 25
18.42,0,Denied,Under 25
27.67,0,Denied,25–34
18.92,1,Approved,Under 25
22.67,0,Denied,Under 25
62.5,0,Denied,55+
23.5,1,Approved,Under 25
35.25,0,Denied,35–44
56.83,0,Denied,55+
53.33,0,Denied,45–54
41.17,1,Approved,35–44
42.17,1,Approved,35–44
41.17,0,Denied,35–44
33.75,0,Denied,25–34
25.67,1,Approved,25–34
24.33,1,Approved,Under 25
23.33,1,Approved,Under 25
30.67,0,Denied,25–34
37.17,0,Denied,35–44
26.25,0,Denied,25–34
29.75,0,Denied,25–34
23.0,0,Denied,Under 25
17.25,0,Denied,Under 25
29.25,1,Approved,25–34
28.58,0,Denied,25–34
34.58,0,Denied,25–34
23.42,0,Denied,Under 25
25.0,1,Approved,25–34
18.75,1,Approved,Under 25
17.08,0,Denied,Under 25
16.08,0,Denied,Under 25
32.92,0,Denied,25–34
20.33,1,Approved,Under 25
21.75,0,Denied,Under 25
33.17,1,Approved,25–34
25.33,0,Denied,25–34
24.75,1,Approved,Under 25
30.83,1,Approved,25–34
20.75,0,Denied,Under 25
40.33,0,Denied,35–44
29.42,0,Denied,25–34
40.92,0,Denied,35–44
29.5,1,Approved,25–34
54.42,1,Approved,45–54
34.0,0,Denied,25–34
25.0,0,Denied,25–34
26.58,0,Denied,25–34
33.08,1,Approved,25–34
33.67,0,Denied,25–34
36.17,0,Denied,35–44
19.5,0,Denied,Under 25
24.17,1,Approved,Under 25
30.5,1,Approved,25–34
20.0,0,Denied,Under 25
25.33,1,Approved,25–34
29.58,0,Denied,25–34
43.17,0,Denied,35–44
28.75,0,Denied,25–34
31.57,0,Denied,25–34
20.25,1,Approved,Under 25
45.0,1,Approved,45–54
22.83,1,Approved,Under 25
20.67,1,Approved,Under 25
27.83,0,Denied,25–34
40.92,0,Denied,35–44
56.42,1,Approved,55+
64.08,1,Approved,55+
22.42,1,Approved,Under 25
24.33,0,Denied,Under 25
69.5,0,Denied,55+
35.58,0,Denied,35–44
48.33,1,Approved,45–54
28.08,1,Approved,25–34
35.17,1,Approved,35–44
49.5,1,Approved,45–54
80.25,0,Denied,55+
29.25,0,Denied,25–34
16.92,0,Denied,Under 25
16.0,0,Denied,Under 25
60.08,1,Approved,55+
28.0,1,Approved,25–34
41.5,1,Approved,35–44
24.08,0,Denied,Under 25
24.5,0,Denied,Under 25
34.75,1,Approved,25–34
33.67,0,Denied,25–34
40.83,1,Approved,35–44
20.42,1,Approved,Under 25
37.5,1,Approved,35–44
48.5,1,Approved,45–54
23.0,0,Denied,Under 25
35.0,0,Denied,35–44
16.33,0,Denied,Under 25
22.67,1,Approved,Under 25
21.75,0,Denied,Under 25
25.08,1,Approved,25–34
36.33,1,Approved,35–44
28.58,0,Denied,25–34
22.17,0,Denied,Under 25
34.17,1,Approved,25–34
35.0,0,Denied,35–44
28.58,0,Denied,25–34
19.17,0,Denied,Under 25
23.25,1,Approved,Under 25
16.5,0,Denied,Under 25
20.08,1,Approved,Under 25
22.33,1,Approved,Under 25
34.0,0,Denied,25–34
57.08,0,Denied,55+
16.25,0,Denied,Under 25
32.83,1,Approved,25–34
48.25,1,Approved,45–54
34.17,0,Denied,25–34
18.33,0,Denied,Under 25
44.25,0,Denied,35–44
38.92,0,Denied,35–44
31.58,0,Denied,25–34
25.08,1,Approved,25–34
65.42,1,Approved,55+
41.33,1,Approved,35–44
31.25,0,Denied,25–34
36.75,0,Denied,35–44
32.33,0,Denied,25–34
31.92,0,Denied,25–34
24.83,1,Approved,Under 25
21.92,1,Approved,Under 25
34.25,1,Approved,25–34
51.83,0,Denied,45–54
31.57,0,Denied,25–34
38.42,0,Denied,35–44
39.17,1,Approved,35–44
18.17,0,Denied,Under 25
39.0,1,Approved,35–44
20.0,0,Denied,Under 25
32.75,0,Denied,25–34
18.58,0,Denied,Under 25
15.83,0,Denied,Under 25
39.33,1,Approved,35–44
19.58,0,Denied,Under 25
21.33,1,Approved,Under 25
22.67,0,Denied,Under 25
25.67,0,Denied,25–34
21.08,0,Denied,Under 25
49.0,0,Denied,45–54
20.67,0,Denied,Under 25
19.67,1,Approved,Under 25
21.83,1,Approved,Under 25
26.83,0,Denied,25–34
38.58,0,Denied,35–44
50.08,1,Approved,45–54
15.75,0,Denied,Under 25
24.5,1,Approved,Under 25
21.0,1,Approved,Under 25
22.08,1,Approved,Under 25
54.58,1,Approved,45–54
18.08,1,Approved,Under 25
36.67,1,Approved,35–44
38.17,1,Approved,35–44
21.83,0,Denied,Under 25
51.92,0,Denied,45–54
22.17,0,Denied,Under 25
52.42,0,Denied,45–54
60.92,1,Approved,55+
20.17,1,Approved,Under 25
23.25,1,Approved,Under 25
36.17,0,Denied,35–44
42.25,0,Denied,35–44
23.58,0,Denied,Under 25
36.0,1,Approved,35–44
39.58,0,Denied,35–44
18.83,1,Approved,Under 25
27.25,0,Denied,25–34
32.42,0,Denied,25–34
19.42,0,Denied,Under 25
22.58,1,Approved,Under 25
39.92,1,Approved,35–44
22.67,1,Approved,Under 25
23.42,1,Approved,Under 25
30.0,1,Approved,25–34
40.33,1,Approved,35–44
36.75,1,Approved,35–44
31.0,0,Denied,25–34
25.17,1,Approved,25–34
27.42,0,Denied,25–34
31.57,1,Approved,25–34
34.08,0,Denied,25–34
22.08,0,Denied,Under 25
31.08,0,Denied,25–34
31.57,0,Denied,25–34
16.0,0,Denied,Under 25
27.25,1,Approved,25–34
25.17,0,Denied,25–34
67.75,1,Approved,55+
18.83,1,Approved,Under 25
27.25,0,Denied,25–34
19.58,0,Denied,Under 25
30.75,0,Denied,25–34
50.25,0,Denied,45–54
31.08,0,Denied,25–34
51.58,1,Approved,45–54
36.58,0,Denied,35–44
33.58,1,Approved,25–34
20.83,1,Approved,Under 25
36.17,0,Denied,35–44
50.75,0,Denied,45–54
23.58,0,Denied,Under 25
35.17,1,Approved,35–44
58.42,1,Approved,55+
28.25,1,Approved,25–34
31.57,0,Denied,25–34
31.75,0,Denied,25–34
19.42,1,Approved,Under 25
39.08,1,Approved,35–44
17.08,0,Denied,Under 25
44.83,0,Denied,35–44
16.25,0,Denied,Under 25
41.17,1,Approved,35–44
28.92,1,Approved,25–34
26.17,0,Denied,25–34
38.58,1,Approved,35–44
25.17,1,Approved,25–34
28.17,1,Approved,25–34
73.42,1,Approved,55+
22.5,0,Denied,Under 25
27.17,0,Denied,25–34
19.17,1,Approved,Under 25
25.58,1,Approved,25–34
31.57,0,Denied,25–34
22.5,0,Denied,Under 25
22.92,0,Denied,Under 25
23.25,0,Denied,Under 25
29.5,0,Denied,25–34
32.0,0,Denied,25–34
27.0,1,Approved,25–34
19.33,0,Denied,Under 25
35.75,0,Denied,35–44
18.83,0,Denied,Under 25
28.75,1,Approved,25–34
34.42,1,Approved,25–34
33.25,0,Denied,25–34
53.92,1,Approved,45–54
25.25,0,Denied,25–34
32.42,0,Denied,25–34
21.08,0,Denied,Under 25
56.5,1,Approved,55+
32.25,1,Approved,25–34
20.5,1,Approved,Under 25
30.25,0,Denied,25–34
24.58,0,Denied,Under 25
23.17,1,Approved,Under 25
31.57,0,Denied,25–34
32.33,1,Approved,25–34
23.92,1,Approved,Under 25
36.75,1,Approved,35–44
29.83,0,Denied,25–34
24.08,1,Approved,Under 25
21.17,0,Denied,Under 25
31.42,0,Denied,25–34
22.83,1,Approved,Under 25
37.5,0,Denied,35–44
24.83,0,Denied,Under 25
36.33,0,Denied,35–44
47.25,1,Approved,45–54
32.08,0,Denied,25–34
30.58,0,Denied,25–34
27.83,1,Approved,25–34
54.83,0,Denied,45–54
16.08,1,Approved,Under 25
24.58,0,Denied,Under 25
32.67,1,Approved,25–34
30.17,1,Approved,25–34
22.25,0,Denied,Under 25
41.75,1,Approved,35–44
36.67,0,Denied,35–44
25.83,0,Denied,25–34
29.92,1,Approved,25–34
20.08,0,Denied,Under 25
19.67,1,Approved,Under 25
51.42,1,Approved,45–54
62.75,0,Denied,55+
40.58,0,Denied,35–44
16.33,0,Denied,Under 25
29.5,0,Denied,25–34
34.0,0,Denied,25–34
71.58,1,Approved,55+
42.0,1,Approved,35–44
22.5,0,Denied,Under 25
24.42,0,Denied,Under 25
44.33,1,Approved,35–44
23.0,1,Approved,Under 25
34.42,0,Denied,25–34
23.08,1,Approved,Under 25
25.92,0,Denied,25–34
17.58,1,Approved,Under 25
20.42,0,Denied,Under 25
31.67,1,Approved,25–34
57.58,0,Denied,55+
59.67,1,Approved,55+
65.17,1,Approved,55+
30.08,0,Denied,25–34
48.58,1,Approved,45–54
23.58,0,Denied,Under 25
20.17,1,Approved,Under 25
48.17,1,Approved,45–54
23.25,1,Approved,Under 25
32.25,0,Denied,25–34
33.58,0,Denied,25–34
23.58,0,Denied,Under 25
16.92,0,Denied,Under 25
20.83,0,Denied,Under 25
60.58,1,Approved,55+
31.57,0,Denied,25–34
25.0,1,Approved,25–34
21.5,0,Denied,Under 25
20.42,0,Denied,Under 25
25.25,0,Denied,25–34
42.83,1,Approved,35–44
26.67,1,Approved,25–34
57.83,1,Approved,55+
55.92,1,Approved,55+
51.33,1,Approved,45–54
39.83,0,Denied,35–44
27.58,1,Approved,25–34
30.17,1,Approved,25–34
51.83,0,Denied,45–54
25.0,0,Denied,25–34
29.67,0,Denied,25–34
33.67,1,Approved,25–34
25.75,1,Approved,25–34
28.67,1,Approved,25–34
18.08,1,Approved,Under 25
20.42,1,Approved,Under 25
17.5,1,Approved,Under 25
18.08,0,Denied,Under 25
47.67,1,Approved,45–54
57.42,1,Approved,55+
13.75,1,Approved,Under 25
19.33,1,Approved,Under 25
21.92,0,Denied,Under 25
17.58,0,Denied,Under 25
34.83,0,Denied,25–34
29.17,0,Denied,25–34
21.42,0,Denied,Under 25
18.17,0,Denied,Under 25
28.0,0,Denied,25–34
45.83,1,Approved,45–54
22.75,0,Denied,Under 25
31.57,0,Denied,25–34
20.42,1,Approved,Under 25
21.25,1,Approved,Under 25
26.67,1,Approved,25–34
27.33,0,Denied,25–34
42.08,1,Approved,35–44
18.25,0,Denied,Under 25
28.5,0,Denied,25–34
21.5,1,Approved,Under 25
21.83,1,Approved,Under 25
21.92,0,Denied,Under 25
32.67,1,Approved,25–34
45.33,0,Denied,45–54
23.58,0,Denied,Under 25
17.92,0,Denied,Under 25
33.0,0,Denied,25–34
22.67,0,Denied,Under 25
34.67,0,Denied,25–34
29.67,1,Approved,25–34
31.83,0,Denied,25–34
20.67,1,Approved,Under 25
33.75,0,Denied,25–34
22.08,1,Approved,Under 25
35.42,1,Approved,35–44
31.92,1,Approved,25–34
22.67,0,Denied,Under 25
26.67,0,Denied,25–34
44.0,1,Approved,35–44
30.17,0,Denied,25–34
37.75,0,Denied,35–44
17.08,0,Denied,Under 25
49.17,0,Denied,45–54
22.92,0,Denied,Under 25
34.83,0,Denied,25–34
44.25,0,Denied,35–44
59.5,1,Approved,55+
25.5,1,Approved,25–34
41.58,0,Denied,35–44
49.58,0,Denied,45–54
33.92,0,Denied,25–34
19.17,0,Denied,Under 25
24.5,0,Denied,Under 25
23.33,1,Approved,Under 25
69.17,0,Denied,55+
47.67,1,Approved,45–54
33.25,0,Denied,25–34
43.25,1,Approved,35–44
23.0,0,Denied,Under 25
34.75,0,Denied,25–34
56.58,1,Approved,55+
44.17,1,Approved,35–44
44.33,1,Approved,35–44
34.25,0,Denied,25–34
45.0,0,Denied,45–54
30.58,0,Denied,25–34
27.67,0,Denied,25–34
19.42,0,Denied,Under 25
41.33,1,Approved,35–44
23.5,0,Denied,Under 25
31.67,1,Approved,25–34
17.83,1,Approved,Under 25
33.17,0,Denied,25–34
52.5,0,Denied,45–54
25.42,0,Denied,25–34
40.58,0,Denied,35–44
23.92,0,Denied,Under 25
56.0,1,Approved,55+
28.5,1,Approved,25–34
32.08,1,Approved,25–34
21.17,0,Denied,Under 25
34.17,1,Approved,25–34
43.25,0,Denied,35–44
38.25,1,Approved,35–44
37.42,1,Approved,35–44
29.83,0,Denied,25–34
37.33,0,Denied,35–44
31.33,1,Approved,25–34
36.08,0,Denied,35–44
20.5,1,Approved,Under 25
47.17,0,Denied,45–54
22.0,0,Denied,Under 25
20.5,1,Approved,Under 25
34.92,1,Approved,25–34
24.08,0,Denied,Under 25
37.33,1,Approved,35–44
20.75,0,Denied,Under 25
36.67,1,Approved,35–44
22.58,1,Approved,Under 25
26.92,1,Approved,25–34
46.67,1,Approved,45–54
52.17,0,Denied,45–54
39.17,0,Denied,35–44
39.17,1,Approved,35–44
27.67,0,Denied,25–34
19.17,1,Approved,Under 25
39.5,1,Approved,35–44
36.42,0,Denied,35–44
26.17,1,Approved,25–34
39.42,0,Denied,35–44
41.92,1,Approved,35–44
21.33,1,Approved,Under 25
20.08,0,Denied,Under 25
27.58,0,Denied,25–34
21.58,0,Denied,Under 25
28.25,1,Approved,25–34
26.92,0,Denied,25–34
18.42,1,Approved,Under 25
23.25,1,Approved,Under 25
23.58,0,Denied,Under 25
28.33,1,Approved,25–34
25.67,0,Denied,25–34
28.58,0,Denied,25–34
22.92,0,Denied,Under 25
24.5,0,Denied,Under 25
24.75,0,Denied,Under 25
32.0,1,Approved,25–34
48.08,0,Denied,45–54
28.42,1,Approved,25–34
25.42,0,Denied,25–34
18.58,0,Denied,Under 25
21.67,0,Denied,Under 25
24.58,0,Denied,Under 25
16.33,0,Denied,Under 25
26.75,0,Denied,25–34
48.17,1,Approved,45–54
23.5,0,Denied,Under 25
41.0,1,Approved,35–44
35.17,1,Approved,35–44
23.75,0,Denied,Under 25
18.67,0,Denied,Under 25
30.33,0,Denied,25–34
19.75,0,Denied,Under 25
26.17,0,Denied,25–34
28.75,0,Denied,25–34
28.67,1,Approved,25–34
26.0,1,Approved,25–34
23.5,0,Denied,Under 25
26.33,0,Denied,25–34
54.33,1,Approved,45–54
31.57,0,Denied,25–34
25.25,0,Denied,25–34
33.17,1,Approved,25–34
39.5,0,Denied,35–44
17.67,0,Denied,Under 25
23.92,1,Approved,Under 25
26.67,1,Approved,25–34
22.5,0,Denied,Under 25
39.92,1,Approved,35–44
26.08,1,Approved,25–34
20.0,0,Denied,Under 25
31.57,0,Denied,25–34
26.75,0,Denied,25–34
24.92,0,Denied,Under 25
32.25,0,Denied,25–34
17.67,0,Denied,Under 25
37.75,1,Approved,35–44
22.67,1,Approved,Under 25
17.92,0,Denied,Under 25
24.42,1,Approved,Under 25
25.75,1,Approved,25–34
26.17,0,Denied,25–34
22.75,0,Denied,Under 25
23.0,0,Denied,Under 25
25.67,0,Denied,25–34
48.58,1,Approved,45–54
21.17,0,Denied,Under 25
35.25,0,Denied,35–44
22.92,1,Approved,Under 25
48.17,0,Denied,45–54
43.0,1,Approved,35–44
31.57,1,Approved,25–34
20.67,0,Denied,Under 25
18.83,1,Approved,Under 25
27.42,1,Approved,25–34
41.0,1,Approved,35–44
